N,Np,Nc,repetition,M,seconds,primes
1000,1,4,10,100000,1.945616376,6632
1000,1,8,1,100000,2.472582543,6560
1000,1,8,2,100000,2.329869753,6589
1000,1,8,3,100000,2.313911940,6750
1000,1,8,4,100000,2.230814906,6551
1000,1,8,5,100000,2.047130505,6588
1000,1,8,6,100000,1.912377705,6735
1000,1,8,7,100000,1.938185861,6542
1000,1,8,8,100000,2.002046481,6634
1000,1,8,9,100000,2.169864588,6589
1000,1,8,10,100000,2.096003285,6712
1000,2,1,1,100000,0.408180514,6711
1000,2,1,2,100000,0.269715407,6644
1000,2,1,3,100000,0.278856707,6658
1000,2,1,4,100000,0.279829408,6775
1000,2,1,5,100000,0.268515407,6552
1000,2,1,6,100000,0.263319707,6661
1000,2,1,7,100000,0.258910006,6525
1000,2,1,8,100000,0.249489806,6613
1000,2,1,9,100000,0.267603907,6730
1000,2,1,10,100000,0.269236907,6486
1000,4,1,1,100000,2.236230458,6764
1000,4,1,2,100000,2.224735857,6568
1000,4,1,3,100000,2.403293558,6690
1000,4,1,4,100000,2.162160852,6552
1000,4,1,5,100000,2.101143950,6647
1000,4,1,6,100000,1.880615245,6535
1000,4,1,7,100000,1.847697739,6644
1000,4,1,8,100000,1.859126038,6673
1000,4,1,9,100000,1.840498738,6593
1000,4,1,10,100000,2.045881742,6588
1000,8,1,1,100000,2.302929154,6569
1000,8,1,2,100000,2.515324162,6651
1000,8,1,3,100000,2.387802959,6662
1000,8,1,4,100000,2.261825551,6656
1000,8,1,5,100000,2.436889849,6490
1000,8,1,6,100000,2.263030545,6588
1000,8,1,7,100000,2.279647446,6794
1000,8,1,8,100000,2.324182443,6696
1000,8,1,9,100000,2.306274942,6713
1000,8,1,10,100000,1.907538235,6681
